Company_Code,Networth Next Year,Capital Employed,Net Working Capital ,Current Assets ,Total Sales,Retained Earnings,PBDT,PBIT,PBT,PBT_as_%_of_total_income,PAT,CP,Book Value (Adj.) (Unit Curr),EPS (Annualised) (Adjusted) (Unit Curr),APATM (%)[Latest],Creditors Velocity (Days),Total Liabilities,Total Equity,Market Value of Equity,total assets,Cost of Production,Current Ratio,Gross Block 
37926,2.33,212.66,27.55,100.88,383.93,0.27,30.07,10.08,1.89,7,2.28,30.46,13.64,1.7,0.92,59,87.51,6.71,160.58,94.22,349.81,1.4,268.99
5080,2.37,2.58,0.12,0.14,0.09,0.02,0.04,0.04,0.04,2,0.03,0.03,7.17,0.08,-116.67,0,12,3.3,0,3.3,0.04,3.27,0.14
13767,2.38,2.5,0.03,0.03,0,0,-0.01,-0.01,-0.01,0,-0.01,-0.01,9.54,0,0,0,0.1,2.5,0,2.6,0,17.76,0.02
26137,2.38,2.38,-1,2.09,0.28,0.01,0.13,0.13,0.13,13,0.1,0.1,37.23,1.56,0.71,433,3,0.64,0,0.64,0.07,26.13,3.25
70724,2.42,4.63,-0.04,0.08,0,0.07,0,0,0,0,0,0,12,0,0,0,2.2,2.02,0,4.22,0,0.69,0.41
20235,2.45,0.79,0.05,0.05,0.08,0,0.01,0.01,0.01,0,0.01,0.01,15.86,0.13,92.27,0,6,0.49,0,0.49,0.03,170.42,0
66673,2.45,3.08,0.17,1.63,9.25,0.01,0.46,0.43,0.35,35,0.24,0.35,12.25,1.91,6.87,11,1.54,1.26,0,2.8,7.41,1.46,1.1
67106,2.45,2.42,2.4,2.41,0.06,0.05,0.01,0.01,0.01,0.2,0.01,0.01,10.33,0.03,0.24,0,10,2.34,0,2.34,1.42,1.85,0
69689,2.45,7.83,5.23,9.41,19.63,0.06,0.91,0.92,0.5,8.333333333,0.35,0.76,9.46,2.31,1.17,62,6.4,1.5,0,7.9,19.5,1.31,2.9
1600,2.46,4.43,1.5,4.09,7.44,0.13,0.49,0.5,0.19,1.461538462,0.08,0.38,9.57,0.38,-9.89,133,2.2,2.25,0,4.45,4.91,0.96,8.39
3447,2.46,2.82,-0.02,0.03,0,0,-0.1,-0.1,-0.1,0,-0.1,-0.1,3.58,0,0,0,0.28,7.1,0,7.38,0.03,0.55,0
6619,2.47,10.81,0.04,0.09,0,0.36,0.04,0.24,0.04,0.111111111,0.03,0.03,24.37,0.31,4.71,0,8.38,1,0,9.38,0.06,0.14,0
